City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Jimalalud,PH,85.86,Scattered clouds,9.9797,123.1999,Florence Place
127,Cayenne,GF,80.1,Clear sky,4.9333,-52.3333,Hôtel Le Dronmi
128,Kapaa,US,80.11,Broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
131,Mandera,KE,75.72,Broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
135,Segou,ML,88.0,Overcast clouds,13.4317,-6.2157,Comme chez soi
139,Mayo,US,78.96,Overcast clouds,38.8876,-76.5119,Resorts Resource Group International
140,Isagarh,IN,80.47,Overcast clouds,24.8333,77.8833,ACC Cement
142,Doha,QA,89.58,Clear sky,25.2867,51.5333,Doha Marriott Hotel
152,Bhopal,IN,86.23,Few clouds,23.2667,77.4,SPOT ON 63658 Shukla Lodge
159,Mogadishu,SO,78.84,Overcast clouds,2.0371,45.3438,Hotel Juba
166,Annau,TM,81.9,Light rain,37.8876,58.516000000000005,"Гостиница ""Уссат инженер"""
169,Mahibadhoo,MV,83.64,Overcast clouds,3.7833,72.9667,Omadhoo Inn
170,Gizo,SB,84.34,Broken clouds,-8.103,156.8419,Imagination Island
174,Tutoia,BR,76.08,Overcast clouds,-2.7619,-42.2744,Pousada Guará's
175,Bandipur,NP,79.21,Clear sky,27.9333,84.4167,Bandipur Guest House
177,Panalingaan,PH,87.84,Overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
178,Port-Gentil,GA,75.18,Clear sky,-0.7193,8.7815,Fengshui Residence
180,Kinablangan,PH,84.99,Overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
184,Tomatlan,MX,75.79,Overcast clouds,19.9333,-105.25,El Salvial
187,Tallahassee,US,84.4,Few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
191,Pen,IN,78.84,Overcast clouds,18.75,73.0833,Hotel Marquis Manthan
192,Puerto Escondido,MX,76.03,Overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
194,Teknaf,BD,78.57,Overcast clouds,20.8624,92.3058,Forestry Guesthouse
