City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Alice Springs,AU,-23.7,133.8833,71.15,32,2,8.05,Clear sky
165,Kisii,KE,-0.6817,34.7667,56.84,85,63,5.21,Broken clouds
166,Annau,TM,37.8876,58.516,81.9,42,75,23.02,Light rain
167,Westerland,DE,54.9079,8.3033,55.42,82,100,6.91,Overcast clouds
168,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,20,11.5,Light rain
169,Mahibadhoo,MV,3.7833,72.9667,83.64,71,97,8.25,Overcast clouds
170,Gizo,SB,-8.103,156.8419,84.34,70,82,10.76,Broken clouds
171,Tocopilla,CL,-22.092,-70.1979,57.38,73,14,2.37,Few clouds
172,Concarneau,FR,47.875,-3.9225,58.82,65,100,7.74,Overcast clouds
173,Maridi,SS,4.9158,29.4742,64.92,96,87,0.58,Overcast clouds
174,Tutoia,BR,-2.7619,-42.2744,76.08,84,99,6.71,Overcast clouds
175,Bandipur,NP,27.9333,84.4167,79.21,62,4,1.36,Clear sky
176,Dunedin,NZ,-45.8742,170.5036,53.8,55,91,13.0,Overcast clouds
177,Panalingaan,PH,8.7842,117.4231,87.84,60,100,2.08,Overcast clouds
178,Port-Gentil,GA,-0.7193,8.7815,75.18,81,6,12.57,Clear sky
179,Russell,US,32.3502,-85.1999,74.8,88,0,9.22,Thunderstorm with light rain
180,Kinablangan,PH,7.6947,126.5503,84.99,69,87,5.68,Overcast clouds
181,Vyartsilya,RU,62.1764,30.693,49.96,98,100,12.41,Light rain
182,Mar Del Plata,AR,-38.0023,-57.5575,46.09,95,100,3.44,Fog
183,Ndele,CF,8.4109,20.6473,68.81,88,98,2.8,Overcast clouds
184,Tomatlan,MX,19.9333,-105.25,75.79,94,100,1.36,Overcast clouds
185,Vokhtoga,RU,58.8147,41.0461,54.72,84,95,8.9,Overcast clouds
186,Yulara,AU,-25.2406,130.9889,68.81,34,9,7.27,Clear sky
187,Tallahassee,US,30.4383,-84.2807,84.4,85,20,0.0,Few clouds
188,Eenhana,NA,-17.4667,16.3333,49.23,43,2,7.45,Clear sky
189,Saint-Leu,RE,-21.15,55.2833,72.32,77,41,1.77,Scattered clouds
190,Port Macquarie,AU,-31.4333,152.9167,70.9,43,0,1.25,Clear sky
191,Pen,IN,18.75,73.0833,78.84,72,100,6.96,Overcast clouds
192,Puerto Escondido,MX,15.85,-97.0667,76.03,64,100,13.8,Overcast clouds
193,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,75,5.75,Broken clouds
194,Teknaf,BD,20.8624,92.3058,78.57,91,100,10.87,Overcast clouds
195,Port Hardy,CA,50.6996,-127.4199,53.78,94,100,5.75,Light intensity shower rain
196,Esperance,AU,-33.8667,121.9,67.84,58,0,8.39,Clear sky
197,Torbay,CA,47.6666,-52.7314,40.75,83,20,5.01,Few clouds
198,Ribeira Grande,PT,38.5167,-28.7,64.85,91,26,4.23,Scattered clouds
199,Wasco,US,35.5941,-119.341,91.35,10,0,4.61,Clear sky
200,Kuybyshevo,RU,47.8123,38.9073,57.67,87,11,8.46,Few clouds
201,Tiznit,MA,29.5833,-9.5,67.26,69,46,2.89,Scattered clouds
202,Zhanaozen,KZ,43.3,52.8,78.28,29,31,14.16,Scattered clouds
203,Provideniya,RU,64.3833,-173.3,39.36,100,100,18.01,Mist
204,Pathein,MM,16.7833,94.7333,85.95,69,100,5.97,Overcast clouds
205,Itamaraca,BR,-7.7478,-34.8256,75.25,83,19,3.91,Few clouds
206,Riyadh,SA,24.6877,46.7219,80.74,17,3,2.91,Clear sky
207,Grand Gaube,MU,-20.0064,57.6608,73.38,65,0,7.0,Clear sky
208,Batu,ID,-7.87,112.5283,79.36,61,44,0.67,Light rain
209,Batagay-Alyta,RU,67.8006,130.4114,43.9,88,100,9.31,Moderate rain
210,Mareeba,AU,-17.0,145.4333,79.48,59,26,6.29,Scattered clouds
211,Lebu,CL,-37.6167,-73.65,49.14,89,63,8.25,Broken clouds
212,Yar-Sale,RU,66.8333,70.8333,61.61,32,1,19.22,Clear sky
213,Beloha,MG,-25.1667,45.05,64.72,81,62,7.14,Broken clouds
214,Namibe,AO,-15.1961,12.1522,63.64,70,13,2.71,Few clouds
215,Mortara,IT,45.2473,8.7355,72.05,94,3,4.07,Clear sky
216,Ilulissat,GL,69.2167,-51.1,32.81,73,0,5.12,Clear sky
217,Ugoofaaru,MV,5.6667,73.0,83.07,74,76,11.12,Broken clouds
218,Kunda,IN,25.7167,81.5167,95.92,42,69,16.33,Light rain
219,Abu Samrah,SY,35.3029,37.1841,69.28,69,0,4.9,Clear sky
220,Ribeira Brava,PT,32.65,-17.0667,69.01,76,21,5.79,Few clouds
221,Jalu,LY,29.0331,21.5482,74.5,58,0,5.39,Clear sky
222,Lashio,MM,22.9333,97.75,68.36,99,100,1.88,Light rain
223,Bria,CF,6.5423,21.9863,67.78,91,100,2.95,Overcast clouds
224,Nechi,CO,8.0942,-74.7757,73.89,97,100,1.14,Overcast clouds
225,Fort Morgan,US,40.2503,-103.8,74.05,21,0,8.05,Clear sky
226,Kudahuvadhoo,MV,2.6708,72.8944,83.35,70,95,6.46,Overcast clouds
227,Homer,US,59.6425,-151.5483,61.77,68,33,10.0,Scattered clouds
228,Palmas Bellas,PA,9.2319,-80.0867,78.26,91,100,6.78,Overcast clouds
229,Taixing,CN,32.1667,120.0136,92.12,41,55,7.81,Broken clouds
230,Miastko,PL,54.0028,16.9826,50.77,89,99,1.34,Overcast clouds
231,Pervomayskoye,RU,43.919,46.7102,70.48,69,100,10.63,Overcast clouds
232,Bonavista,CA,48.6499,-53.1147,43.65,79,5,2.1,Clear sky
233,Sakakah,SA,29.9697,40.2064,83.77,21,0,9.06,Clear sky
234,Skjervoy,NO,70.0311,20.9714,48.2,76,76,5.21,Broken clouds
235,Lorengau,PG,-2.0226,147.2712,85.57,67,99,10.04,Overcast clouds
236,Hailey,US,43.5196,-114.3153,57.99,45,0,1.25,Clear sky
237,Ust-Tsilma,RU,65.441,52.1498,58.91,60,99,9.86,Overcast clouds
238,Viking,CA,53.1001,-111.7684,60.93,76,100,12.46,Light rain
239,Pevek,RU,69.7008,170.3133,35.2,80,16,8.39,Few clouds
240,Tinguindin,MX,19.75,-102.4833,63.73,93,100,0.96,Overcast clouds
241,Mubi,NG,10.2676,13.2644,75.27,66,68,2.51,Broken clouds
242,Nishihara,JP,26.1842,127.7558,78.46,83,75,10.36,Heavy intensity shower rain
243,Wiang Sa,TH,8.6359,99.3666,86.29,70,47,3.85,Scattered clouds
244,Natal,BR,-5.795,-35.2094,75.42,94,40,4.61,Scattered clouds
245,Vigrestad,NO,58.5667,5.7,49.59,88,5,7.61,Clear sky
246,Sinnamary,GF,5.3833,-52.95,76.33,86,90,6.24,Overcast clouds
247,Leningradskiy,RU,69.3833,178.4167,41.76,68,84,10.36,Broken clouds
248,Vilyuysk,RU,63.7553,121.6247,69.62,48,71,8.57,Broken clouds
249,Broome,US,42.2506,-75.833,75.0,68,98,5.99,Overcast clouds
250,Rocha,UY,-34.4833,-54.3333,50.32,92,100,5.5,Overcast clouds
251,Ivanishchi,RU,55.7742,40.4273,54.72,82,100,6.26,Overcast clouds
252,Saldanha,ZA,-33.0117,17.9442,44.65,70,11,6.71,Few clouds
253,Pailon,BO,-17.65,-62.75,67.1,66,0,9.35,Clear sky
254,Den Helder,NL,52.9599,4.7593,60.78,75,100,5.01,Overcast clouds
255,Lompoc,US,34.6391,-120.4579,73.78,75,0,21.0,Clear sky
256,Rorvik,NO,64.8621,11.2373,50.31,94,100,9.44,Overcast clouds
257,Sao Joaquim,BR,-28.2939,-49.9317,43.99,82,6,2.57,Clear sky
258,Abnub,EG,27.2696,31.1511,79.02,52,0,14.23,Clear sky
259,Luena,AO,-11.7833,19.9167,51.06,54,14,3.06,Few clouds
260,Qingyuan,CN,23.7,113.0333,80.58,87,100,2.04,Overcast clouds
261,Witu,KE,-2.3889,40.4382,73.45,91,68,7.31,Light rain
262,Constitucion,CL,-35.3333,-72.4167,49.84,89,13,6.62,Few clouds
263,Tazovskiy,RU,67.4667,78.7,57.22,74,99,14.85,Overcast clouds
264,Jacareacanga,BR,-6.2222,-57.7528,71.29,99,56,1.45,Broken clouds
265,Hutchinson,US,38.0608,-97.9298,84.72,69,0,9.53,Clear sky
266,Fort Nelson,CA,58.8053,-122.7002,71.19,28,40,3.44,Scattered clouds
267,Ruidoso,US,33.3317,-105.673,77.76,23,0,10.36,Clear sky
268,Cairns,AU,-16.9167,145.7667,84.11,57,75,10.36,Broken clouds
269,Padang,ID,-0.9492,100.3543,82.45,66,79,3.78,Broken clouds
270,Fortuna,US,40.5982,-124.1573,60.93,77,0,10.36,Clear sky
271,Laramie,US,41.3114,-105.5911,59.95,25,0,9.91,Clear sky
272,Camargo,MX,27.6667,-105.1667,86.04,25,37,10.87,Scattered clouds
273,Gagra,GE,43.3283,40.2239,63.52,78,38,4.74,Scattered clouds
274,Nantucket,US,41.2835,-70.0995,60.15,85,69,9.22,Broken clouds
275,Garowe,SO,8.4054,48.4845,75.78,62,58,22.17,Broken clouds
276,Eslov,SE,55.8393,13.3039,52.83,94,100,4.14,Overcast clouds
277,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.65,97,27,1.43,Scattered clouds
278,Piacabucu,BR,-10.4056,-36.4344,74.98,79,100,13.47,Overcast clouds
279,Avanigadda,IN,16.0215,80.9181,90.93,51,100,7.65,Overcast clouds
280,Ipojuca,BR,-8.3989,-35.0639,75.11,91,23,4.12,Few clouds
281,Vung Tau,VN,10.346,107.0843,84.72,70,83,0.54,Broken clouds
282,Bela,IN,25.9333,81.9833,97.2,40,72,16.42,Broken clouds
283,Mushie,CD,-3.0167,16.9,71.67,85,93,2.51,Light rain
284,Pacific Grove,US,36.6177,-121.9166,67.01,80,0,8.99,Clear sky
285,Matara,LK,5.9485,80.5353,80.96,82,100,10.69,Moderate rain
286,Tasiilaq,GL,65.6145,-37.6368,37.2,97,100,8.39,Overcast clouds
287,Makat,KZ,47.6469,53.3463,79.68,22,70,9.71,Broken clouds
288,Wattegama,LK,6.7989,81.4808,77.32,83,100,0.31,Moderate rain
289,Nikolskoye,RU,59.7035,30.7861,55.8,90,16,10.29,Few clouds
290,Adrar,MR,20.5022,-10.0711,88.38,30,20,10.09,Few clouds
291,Sisimiut,GL,66.9395,-53.6735,35.38,75,52,2.1,Broken clouds
292,Sesto Calende,IT,45.7261,8.634,72.21,83,0,8.05,Clear sky
293,Port Lincoln,AU,-34.7333,135.8667,61.77,58,4,7.07,Clear sky
294,Severo-Kurilsk,RU,50.6789,156.125,50.18,79,99,7.72,Overcast clouds
295,Wenling,CN,28.3669,121.36,78.12,80,100,5.97,Overcast clouds
296,Necochea,AR,-38.5473,-58.7368,48.27,88,100,4.14,Overcast clouds
297,Port Keats,AU,-14.25,129.55,88.14,20,74,10.8,Broken clouds
298,Half Moon Bay,US,37.4636,-122.4286,69.87,76,100,10.36,Mist
299,Klaksvik,FO,62.2266,-6.589,49.12,96,97,6.38,Overcast clouds
